order_id,order_date,branch_id,customer_id,product_id,quantity,unit_price,revenue
1,2025-09-04,4,100,38,1,45.02,45.02
2,2024-05-30,10,165,40,5,18.41,92.05
3,2025-03-19,8,88,73,3,228.94,686.82
4,2025-04-09,9,37,22,2,48.33,96.66
5,2024-11-29,6,105,46,5,322.71,1613.55
6,2024-11-27,8,27,71,5,180.99,904.95
7,2025-12-16,9,161,107,2,96.76,193.52
8,2024-04-22,1,43,77,1,174.74,174.74
9,2025-08-30,2,167,5,1,27.12,27.12
10,2024-01-07,8,98,23,3,31.71,95.13
11,2024-05-02,7,149,108,2,68.11,136.22
12,2024-06-26,9,47,110,2,34.19,68.38
13,2024-01-08,4,116,49,4,152.06,608.24
14,2025-07-03,2,67,24,1,46.99,46.99
15,2024-03-14,2,191,115,2,87.51,175.02
16,2024-08-21,4,71,43,2,246.49,492.98
17,2024-07-30,1,74,18,2,98.48,196.96
18,2025-10-22,2,194,30,1,55.81,55.81
19,2025-02-09,2,63,92,1,148.71,148.71
20,2024-11-01,3,28,88,1,28.63,28.63
21,2024-09-26,5,12,11,2,248.03,496.06
22,2024-07-01,6,91,97,4,199.77,799.08
23,2024-12-02,10,187,88,1,28.63,28.63
24,2025-08-04,3,137,105,2,88.31,176.62
25,2025-07-20,3,120,21,1,17.21,17.21
26,2024-08-30,4,109,97,4,199.77,799.08
27,2024-01-31,6,133,12,3,212.34,637.02
28,2024-10-01,3,41,12,2,212.34,424.68
29,2024-07-30,2,85,71,2,180.99,361.98
30,2024-09-04,5,113,54,1,429.71,429.71
31,2024-09-26,6,159,2,1,53.3,53.3
32,2024-02-06,10,191,37,5,49.25,246.25
33,2025-02-25,4,199,48,2,80.2,160.4
34,2024-08-20,1,110,117,2,122.83,245.66
35,2024-10-28,8,6,97,5,199.77,998.85
36,2025-07-05,8,154,11,2,248.03,496.06
37,2024-08-19,5,161,63,2,209.35,418.7
38,2024-11-08,8,194,86,2,217.43,434.86
39,2024-08-24,7,157,54,1,429.71,429.71
40,2024-10-22,9,190,3,1,44.33,44.33
41,2025-06-30,3,42,14,3,202.61,607.83
42,2025-07-12,7,134,117,2,122.83,245.66
43,2025-04-30,2,1,17,3,270.61,811.83
44,2025-02-24,7,62,46,1,322.71,322.71
45,2025-02-20,6,46,50,2,409.76,819.52
46,2024-11-04,8,49,100,4,77.98,311.92
47,2025-04-14,6,150,97,2,199.77,399.54
48,2025-12-27,3,166,50,2,409.76,819.52
49,2024-02-02,3,177,18,1,98.48,98.48
50,2025-05-15,8,84,17,5,270.61,1353.05
51,2024-02-16,4,101,72,2,150.36,300.72
52,2024-10-16,5,144,88,1,28.63,28.63
53,2024-06-11,8,195,36,1,35.54,35.54
54,2025-06-02,4,159,108,2,68.11,136.22
55,2024-01-19,7,116,15,2,62.37,124.74
56,2024-01-10,7,66,18,1,98.48,98.48
57,2024-11-26,7,98,26,5,30.45,152.25
58,2024-03-22,8,94,98,4,111.77,447.08
59,2024-04-08,9,42,95,2,132.51,265.02
60,2024-06-10,6,193,31,1,51.82,51.82
61,2025-12-05,4,74,27,3,58.92,176.76
62,2025-11-14,4,179,37,2,49.25,98.5
63,2024-12-23,1,196,84,3,151.05,453.15
64,2024-03-16,4,37,93,2,152.15,304.3
65,2025-12-03,1,114,40,1,18.41,18.41
66,2024-04-20,5,104,43,3,246.49,739.47
67,2024-11-30,8,109,117,5,122.83,614.15
68,2024-04-29,5,96,23,1,31.71,31.71
69,2024-07-12,5,110,90,2,73.44,146.88
70,2024-08-08,2,84,29,1,35.78,35.78
71,2025-06-28,4,4,49,4,152.06,608.24
72,2024-10-03,4,28,91,2,37.96,75.92
73,2024-01-26,1,29,48,4,80.2,320.8
74,2025-10-22,8,156,97,4,199.77,799.08
75,2025-11-15,3,123,104,1,69.5,69.5
76,2024-10-09,10,25,95,3,132.51,397.53
77,2024-05-01,7,83,102,2,97.5,195.0
78,2024-01-07,7,8,95,4,132.51,530.04
79,2024-08-27,2,187,6,2,197.36,394.72
80,2024-01-25,9,45,69,3,341.97,1025.91
81,2024-11-30,4,11,90,1,73.44,73.44
82,2024-09-19,2,171,64,1,188.2,188.2
83,2025-01-29,4,54,10,2,47.47,94.94
84,2025-08-01,1,49,64,5,188.2,941.0
85,2024-12-01,1,129,57,2,337.18,674.36
86,2024-09-30,2,169,50,1,409.76,409.76
87,2024-08-15,10,45,105,2,88.31,176.62
88,2024-09-16,4,28,116,1,34.3,34.3
89,2024-12-18,6,115,111,2,96.99,193.98
90,2025-02-06,3,109,40,2,18.41,36.82
91,2024-04-15,10,69,99,2,232.35,464.7
92,2024-07-26,4,55,64,1,188.2,188.2
93,2024-06-05,3,73,60,1,266.92,266.92
94,2025-05-08,2,153,29,2,35.78,71.56
95,2025-12-25,1,106,21,2,17.21,34.42
96,2024-09-10,5,133,25,1,21.68,21.68
97,2024-03-30,1,29,43,3,246.49,739.47
98,2025-03-14,5,94,97,1,199.77,199.77
99,2025-08-04,2,25,106,3,52.68,158.04
100,2025-09-20,6,167,107,3,96.76,290.28
101,2024-04-03,5,22,104,3,69.5,208.5
102,2024-06-15,6,166,33,1,36.13,36.13
103,2024-04-01,5,35,86,2,217.43,434.86
104,2025-11-22,5,153,66,3,336.94,1010.82
105,2024-01-13,4,170,44,5,200.1,1000.5
106,2025-08-22,2,43,78,2,442.94,885.88
107,2025-01-17,5,148,32,1,38.47,38.47
108,2024-09-20,1,105,4,2,43.14,86.28
109,2025-04-03,8,80,28,2,46.12,92.24
110,2024-01-27,9,185,11,4,248.03,992.12
111,2025-01-15,6,160,26,4,30.45,121.8
112,2024-03-21,5,196,54,2,429.71,859.42
113,2024-10-28,10,109,105,2,88.31,176.62
